time,open,high,low,close,volume
2021-02-23 18:30:00,120.7,120.7,120.7,120.7,500
2021-02-23 17:15:00,120.56,120.56,120.56,120.56,105
2021-02-23 17:00:00,120.7,120.71,120.7,120.71,625
2021-02-23 16:45:00,120.54,120.54,120.54,120.54,201
2021-02-23 16:15:00,120.71,120.71,120.53,120.71,54856
2021-02-23 16:00:00,121.14,121.21,120.68,120.71,422808
2021-02-23 15:45:00,121.13,121.2348,121.095,121.15,158899
2021-02-23 15:30:00,121.21,121.35,121.11,121.12,137881
2021-02-23 15:15:00,121.21,121.25,121.02,121.21,138390
2021-02-23 15:00:00,120.96,121.227,120.89,121.21,147398
2021-02-23 14:45:00,120.83,120.9799,120.64,120.9424,82736
2021-02-23 14:30:00,120.94,120.96,120.8001,120.82,113214
2021-02-23 14:15:00,120.8,120.99,120.7963,120.94,91233
2021-02-23 14:00:00,120.825,120.88,120.675,120.81,76166
2021-02-23 13:45:00,120.73,120.83,120.7,120.82,75091
2021-02-23 13:30:00,120.6,120.7939,120.58,120.73,87444
2021-02-23 13:15:00,120.58,120.765,120.5,120.585,74650
2021-02-23 13:00:00,120.87,120.95,120.51,120.57,77725
2021-02-23 12:45:00,120.84,121.08,120.7964,120.89,114956
2021-02-23 12:30:00,120.62,120.91,120.52,120.89,102994
2021-02-23 12:15:00,120.79,120.88,120.56,120.64,153949
2021-02-23 12:00:00,120.47,120.86,120.47,120.805,133145
2021-02-23 11:45:00,120.18,120.46,120.12,120.46,118227
2021-02-23 11:30:00,120.2,120.28,120.08,120.1801,161769
2021-02-23 11:15:00,120.34,120.47,120.11,120.19,182371
2021-02-23 11:00:00,120.635,120.94,120.35,120.38,166492
2021-02-23 10:45:00,120.41,120.88,120.3917,120.64,136601
2021-02-23 10:30:00,120.58,120.61,120.24,120.42,158433
2021-02-23 10:15:00,120.09299999999999,120.66,119.93,120.615,160871
2021-02-23 10:00:00,120.48,120.62,119.8,120.07,241942
2021-02-23 09:45:00,120.92,121.3,120.41,120.5,593499
2021-02-23 09:30:00,120.58,121.15,120.3701,121.09,14308
2021-02-23 09:15:00,120.41,120.67,120.4,120.67,3078
2021-02-23 09:00:00,120.41,120.6,120.41,120.6,642
2021-02-23 08:45:00,120.4,120.66,120.36,120.66,2504
2021-02-23 08:30:00,120.35,120.55,120.11,120.4,2377
2021-02-23 08:15:00,120.57,121.0233,120.57,120.86,3611
2021-02-23 08:00:00,120.4,120.86,120.4,120.86,1128
2021-02-23 07:45:00,120.57,120.57,120.57,120.57,221
2021-02-23 07:00:00,120.5,120.5,120.5,120.5,1049
2021-02-23 06:45:00,120.1,120.5,120.1,120.5,1200
2021-02-23 06:00:00,120.17,120.64,120.17,120.64,1675
2021-02-23 05:45:00,120.25,120.25,120.23,120.24,1543
2021-02-23 05:30:00,120.26,120.26,120.26,120.26,342
2021-02-22 20:00:00,120.8,120.8,120.8,120.8,231
2021-02-22 19:30:00,120.51,120.51,120.51,120.51,357
2021-02-22 19:00:00,120.9101,120.9101,120.9101,120.9101,104
2021-02-22 18:45:00,120.91,120.91,120.91,120.91,300
2021-02-22 18:30:00,121.0,121.0,121.0,121.0,300
2021-02-22 17:45:00,121.07,121.07,121.07,121.07,100
2021-02-22 17:30:00,120.7,120.7,120.7,120.7,202
